,REGION,Date,TOTALDEMAND,PRICECATEGORY,DUMMY_EXTREME,DUMMY_HIGH,DUMMY_LOW,DUMMY_MEDIUM
0,VIC1,1/01/2021,4179.21,LOW,0,0,1,0
1,VIC1,1/01/2021,4047.76,LOW,0,0,1,0
2,VIC1,1/01/2021,3934.7,LOW,0,0,1,0
3,VIC1,1/01/2021,3766.45,LOW,0,0,1,0
4,VIC1,1/01/2021,3590.37,LOW,0,0,1,0
5,VIC1,1/01/2021,3549.37,LOW,0,0,1,0
6,VIC1,1/01/2021,3504.17,LOW,0,0,1,0
7,VIC1,1/01/2021,3547.9,LOW,0,0,1,0
8,VIC1,1/01/2021,3579.11,LOW,0,0,1,0
9,VIC1,1/01/2021,3580.77,LOW,0,0,1,0
10,VIC1,1/01/2021,3557.25,LOW,0,0,1,0
11,VIC1,1/01/2021,3587.71,LOW,0,0,1,0
12,VIC1,1/01/2021,3569.7,LOW,0,0,1,0
13,VIC1,1/01/2021,3561.49,LOW,0,0,1,0
14,VIC1,1/01/2021,3447.65,LOW,0,0,1,0
15,VIC1,1/01/2021,3362.32,LOW,0,0,1,0
16,VIC1,1/01/2021,3340.47,LOW,0,0,1,0
17,VIC1,1/01/2021,3383.71,LOW,0,0,1,0
18,VIC1,1/01/2021,3379.61,LOW,0,0,1,0
19,VIC1,1/01/2021,3336.79,LOW,0,0,1,0
20,VIC1,1/01/2021,3333.31,LOW,0,0,1,0
21,VIC1,1/01/2021,3275.27,LOW,0,0,1,0
22,VIC1,1/01/2021,3291.46,LOW,0,0,1,0
23,VIC1,1/01/2021,3309.29,LOW,0,0,1,0
24,VIC1,1/01/2021,3355.37,LOW,0,0,1,0
25,VIC1,1/01/2021,3436.26,LOW,0,0,1,0
26,VIC1,1/01/2021,3607.43,LOW,0,0,1,0
27,VIC1,1/01/2021,3833.53,LOW,0,0,1,0
28,VIC1,1/01/2021,3836.59,LOW,0,0,1,0
29,VIC1,1/01/2021,4020.06,LOW,0,0,1,0
30,VIC1,1/01/2021,4208.16,LOW,0,0,1,0
31,VIC1,1/01/2021,4325.69,LOW,0,0,1,0
32,VIC1,1/01/2021,4541.39,LOW,0,0,1,0
33,VIC1,1/01/2021,4842.32,LOW,0,0,1,0
34,VIC1,1/01/2021,5019.64,LOW,0,0,1,0
35,VIC1,1/01/2021,4978.75,LOW,0,0,1,0
36,VIC1,1/01/2021,4932.58,LOW,0,0,1,0
37,VIC1,1/01/2021,4848.56,LOW,0,0,1,0
38,VIC1,1/01/2021,4819.74,LOW,0,0,1,0
39,VIC1,1/01/2021,4782.23,LOW,0,0,1,0
40,VIC1,1/01/2021,4777.06,LOW,0,0,1,0
41,VIC1,1/01/2021,4677.31,LOW,0,0,1,0
42,VIC1,1/01/2021,4575.36,LOW,0,0,1,0
43,VIC1,1/01/2021,4443.79,LOW,0,0,1,0
44,VIC1,1/01/2021,4302.33,LOW,0,0,1,0
45,VIC1,1/01/2021,4243.64,LOW,0,0,1,0
46,VIC1,1/01/2021,4429.74,LOW,0,0,1,0
47,VIC1,2/01/2021,4402.64,LOW,0,0,1,0
48,VIC1,2/01/2021,4227.55,LOW,0,0,1,0
49,VIC1,2/01/2021,4069.91,LOW,0,0,1,0
50,VIC1,2/01/2021,3923.1,LOW,0,0,1,0
51,VIC1,2/01/2021,3785.74,LOW,0,0,1,0
52,VIC1,2/01/2021,3721.07,LOW,0,0,1,0
53,VIC1,2/01/2021,3679.59,LOW,0,0,1,0
54,VIC1,2/01/2021,3676.08,LOW,0,0,1,0
55,VIC1,2/01/2021,3664.13,LOW,0,0,1,0
56,VIC1,2/01/2021,3612.31,LOW,0,0,1,0
57,VIC1,2/01/2021,3593.79,LOW,0,0,1,0
58,VIC1,2/01/2021,3606.79,LOW,0,0,1,0
59,VIC1,2/01/2021,3610.76,LOW,0,0,1,0
